FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,BRKDW_INDUSTRY_NACE_REV2,Breakdown by industry (NACE Rev.2),VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),PRICE,Price (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_BRKDW_INDUSTRY_NACE_REV2,Breakdown by industry (NACE Rev.2) (NOTE_BRKDW_INDUSTRY_NACE_REV2),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_PRICE,Price (NOTE_PRICE),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
A,Annual,IT,Italy,B1G_B_W2_S1,Gross value added,_T,Total economic activities,V,Current prices,N,Raw data,B,Basic prices,2026M3,Mar-2026,2016,1515428.7,,,,,TIPO_DATO_CN1__B1G_B_W2_S1_N1,Gross value added:is the value of output less the value of intermediate consumption; it is a measure of the contribution to the economic growth in terms of new goods and services available for final consumption.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1G_B_W2_S1,Gross value added,_T,Total economic activities,V,Current prices,N,Raw data,B,Basic prices,2026M3,Mar-2026,2017,1552004,,,,,TIPO_DATO_CN1__B1G_B_W2_S1_N1,Gross value added:is the value of output less the value of intermediate consumption; it is a measure of the contribution to the economic growth in terms of new goods and services available for final consumption.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1G_B_W2_S1,Gross value added,_T,Total economic activities,V,Current prices,N,Raw data,B,Basic prices,2026M3,Mar-2026,2018,1582453.4,,,,,TIPO_DATO_CN1__B1G_B_W2_S1_N1,Gross value added:is the value of output less the value of intermediate consumption; it is a measure of the contribution to the economic growth in terms of new goods and services available for final consumption.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1G_B_W2_S1,Gross value added,_T,Total economic activities,V,Current prices,N,Raw data,B,Basic prices,2026M3,Mar-2026,2019,1604269.8,,,,,TIPO_DATO_CN1__B1G_B_W2_S1_N1,Gross value added:is the value of output less the value of intermediate consumption; it is a measure of the contribution to the economic growth in terms of new goods and services available for final consumption.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1G_B_W2_S1,Gross value added,_T,Total economic activities,V,Current prices,N,Raw data,B,Basic prices,2026M3,Mar-2026,2020,1496321.9,,,,,TIPO_DATO_CN1__B1G_B_W2_S1_N1,Gross value added:is the value of output less the value of intermediate consumption; it is a measure of the contribution to the economic growth in terms of new goods and services available for final consumption.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1G_B_W2_S1,Gross value added,_T,Total economic activities,V,Current prices,N,Raw data,B,Basic prices,2026M3,Mar-2026,2021,1644016.4,,,,,TIPO_DATO_CN1__B1G_B_W2_S1_N1,Gross value added:is the value of output less the value of intermediate consumption; it is a measure of the contribution to the economic growth in terms of new goods and services available for final consumption.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1G_B_W2_S1,Gross value added,_T,Total economic activities,V,Current prices,N,Raw data,B,Basic prices,2026M3,Mar-2026,2022,1793606.6,,,,,TIPO_DATO_CN1__B1G_B_W2_S1_N1,Gross value added:is the value of output less the value of intermediate consumption; it is a measure of the contribution to the economic growth in terms of new goods and services available for final consumption.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1G_B_W2_S1,Gross value added,_T,Total economic activities,V,Current prices,N,Raw data,B,Basic prices,2026M3,Mar-2026,2023,1924940.4,,,,,TIPO_DATO_CN1__B1G_B_W2_S1_N1,Gross value added:is the value of output less the value of intermediate consumption; it is a measure of the contribution to the economic growth in terms of new goods and services available for final consumption.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1G_B_W2_S1,Gross value added,_T,Total economic activities,V,Current prices,N,Raw data,B,Basic prices,2026M3,Mar-2026,2024,1968743.2,,,,,TIPO_DATO_CN1__B1G_B_W2_S1_N1,Gross value added:is the value of output less the value of intermediate consumption; it is a measure of the contribution to the economic growth in terms of new goods and services available for final consumption.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1G_B_W2_S1,Gross value added,_T,Total economic activities,V,Current prices,N,Raw data,B,Basic prices,2026M3,Mar-2026,2025,2014632.8,,,,,TIPO_DATO_CN1__B1G_B_W2_S1_N1,Gross value added:is the value of output less the value of intermediate consumption; it is a measure of the contribution to the economic growth in terms of new goods and services available for final consumption.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,,,EURO,Euro,6,Millions
